,Fold selected features,Fold #features
Fold_0,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'Neutrophils_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'Macrophages_M1_M2_glandfront_area', 'Gland_glandular_epithelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'aSMA-br_mesenchymal_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'aSMA-br_fibroblast_stromal_area', 'NA_stromal_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_area', 'NKT_glandfront_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Macrophages_M1-like_stromal_eccentricity', 'Stroma_fibroblast_stromal_area', 'Stroma_vascular_endothelium_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Macrophages_M2-like_glandfront_celldistance', 'Gland_fibroblast_glandfront_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'Macrophages_M1-like_glandfront_area', 'CD4_T_cells_CD80_CD86+_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'aSMA-br_vascular_endothelium_glandfront_area']",26
Fold_1,"['Stroma_vascular_endothelium_stromal_area', 'Gland_mesenchymal_glandfront_eccentricity', 'Gland_glandular_epithelium_glandfront_area', 'NK_cells_CD56dimCD16+CD9hi_glandfront_area', 'Stroma_vascular_endothelium_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'NKT_glandfront_area', 'CD8_T_cells_CD80_CD86+_glandfront_area']",8
Fold_2,"['Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_glandfront_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Gland_fibroblast_glandfront_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1_M2_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'aSMA-br_vascular_endothelium_glandfront_area', 'NKT_glandfront_area']",11
Fold_3,"['Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_FoxP3+_glandfront_area', 'Macrophages_M2-like_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_CD11b+_stromal_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'NKT_glandfront_area']",11
Fold_4,"['Macrophages_M1_M2_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'Macrophages_MDSC_glandfront_eccentricity', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'Gland_mesenchymal_glandfront_eccentricity', 'aSMA-br_vascular_endothelium_glandfront_area', 'NKT_glandfront_area']",7
Fold_5,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Neutrophils_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'NA_stromal_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_area', 'NKT_glandfront_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Macrophages_M1-like_stromal_eccentricity', 'Stroma_vascular_endothelium_stromal_area', 'Macrophages_M2-like_glandfront_celldistance', 'Gland_fibroblast_glandfront_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_eccentricity', 'CD4_T_cells_CD80_CD86+_glandfront_area', 'Gland_mesenchymal_glandfront_eccentricity', 'aSMA-br_vascular_endothelium_glandfront_area']",16
Fold_6,"['NK_cells_CD56brCD16-TIM3hi_glandfront_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'Stroma_fibroblast_glandfront_area', 'aSMA-br_mesenchymal_glandfront_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_fibroblast_stromal_area', 'CD4_T_cells_CD11b+_stromal_area', 'Stroma_vascular_endothelium_glandfront_area', 'CD4_T_cells_HLA-DR+_stromal_area', 'NKT_glandfront_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'CD8_T_cells_CD80_CD86+_glandfront_area', 'Stroma_fibroblast_stromal_area', 'Stroma_vascular_endothelium_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Macrophages_M2-like_glandfront_celldistance', 'CD8_T_cells_HLA-DR+_stromal_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M2-like_stromal_area', 'aSMA-br_vascular_endothelium_stromal_area', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'Gland_mesenchymal_glandfront_eccentricity', 'aSMA-br_vascular_endothelium_glandfront_area']",28
Fold_7,"['Stroma_vascular_endothelium_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Macrophages_M2-like_glandfront_celldistance', 'Macrophages_M1_M2_glandfront_area', 'CD4_T_cells_CD80_CD86+_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'Macrophages_M1_M2_glandfront_eccentricity', 'aSMA-br_vascular_endothelium_glandfront_area', 'NKT_glandfront_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area']",10
Fold_8,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NKT_glandfront_area', 'Stroma_fibroblast_stromal_area']",3
Fold_9,"['NK_cells_CD56brCD16-TIM3hi_stromal_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Macrophages_M2-like_stromal_area', 'Macrophages_M1-like_glandfront_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_area', 'NKT_glandfront_area']",10
Fold_10,"['Stroma_vascular_endothelium_stromal_area', 'Macrophages_M2-like_glandfront_celldistance', 'Gland_fibroblast_glandfront_area', 'Stroma_fibroblast_glandfront_area', 'Macrophages_M1-like_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'Gland_mesenchymal_glandfront_eccentricity', 'aSMA-br_vascular_endothelium_glandfront_area', 'NKT_glandfront_area', 'Stroma_mesenchymal_stromal_area']",10
