,Threshold,min FDP+
Fold n°1,0.1,1.0
Fold n°2,0.13999999999999999,1.0
Fold n°3,0.1,0.25
Fold n°4,0.13,1.0
Fold n°5,0.1,0.3333333333333333
Fold n°6,0.1,1.0
Fold n°7,0.1,1.0
Fold n°8,0.1,0.3333333333333333
Fold n°9,0.1,0.3333333333333333
Fold n°10,0.1,1.0
Fold n°11,0.1,0.5
Fold n°12,0.1,1.0
Fold n°13,0.1,0.5
Fold n°14,0.1,1.0
Fold n°15,0.1,1.0
Fold n°16,0.1,0.25
Fold n°17,0.15999999999999998,1.0
Fold n°18,0.1,0.3333333333333333
Fold n°19,0.1,0.5
Fold n°20,0.11,0.3333333333333333
Fold n°21,0.16999999999999998,1.0
Fold n°22,0.1,1.0
Fold n°23,0.1,0.25
Fold n°24,0.12,0.5
Fold n°25,0.1,1.0
Fold n°26,0.1,0.3333333333333333
Fold n°27,0.1,1.0
Fold n°28,0.12,0.2
Fold n°29,0.1,1.0
Fold n°30,0.1,0.5
Fold n°31,0.1,0.5
Fold n°32,0.1,0.5
Fold n°33,0.1,1.0
Fold n°34,0.1,0.5
Fold n°35,0.1,0.5
Fold n°36,0.1,1.0
Fold n°37,0.1,1.0
Fold n°38,0.16999999999999998,1.0
Fold n°39,0.1,0.5
Fold n°40,0.1,0.3333333333333333
Fold n°41,0.12,1.0
Fold n°42,0.11,0.5
Fold n°43,0.1,0.2
Fold n°44,0.1,1.0
Fold n°45,0.1,0.5
Fold n°46,0.1,0.3333333333333333
Fold n°47,0.1,0.5
Fold n°48,0.14999999999999997,1.0
Fold n°49,0.22999999999999995,1.0
Fold n°50,0.1,0.3333333333333333
Fold n°51,0.1,0.6666666666666666
Fold n°52,0.11,1.0
Fold n°53,0.1,0.5
Fold n°54,0.11,1.0
Fold n°55,0.1,0.5
Fold n°56,0.1,0.5
Fold n°57,0.1,0.5
Fold n°58,0.1,0.5
Fold n°59,0.1,0.5
Fold n°60,0.1,0.5
Fold n°61,0.1,0.5
Fold n°62,0.1,0.3333333333333333
Fold n°63,0.1,1.0
Fold n°64,0.11,1.0
Fold n°65,0.1,0.3333333333333333
Fold n°66,0.1,0.5
Fold n°67,0.1,1.0
Fold n°68,0.1,0.3333333333333333
Fold n°69,0.1,1.0
Fold n°70,0.1,1.0
Fold n°71,0.1,0.3333333333333333
Fold n°72,0.11,0.5
Fold n°73,0.1,0.5
Fold n°74,0.1,0.3333333333333333
Fold n°75,0.1,0.3333333333333333
Fold n°76,0.14999999999999997,1.0
Fold n°77,0.1,1.0
Fold n°78,0.13,0.5
Fold n°79,0.1,0.5
Fold n°80,0.1,0.5
Fold n°81,0.1,0.25
Fold n°82,0.12,1.0
Fold n°83,0.1,0.5
Fold n°84,0.1,0.5
Fold n°85,0.1,0.25
Fold n°86,0.1,0.3333333333333333
Fold n°87,0.12,1.0
Fold n°88,0.1,0.25
Fold n°89,0.1,0.3333333333333333
Fold n°90,0.1,1.0
Fold n°91,0.1,0.5
Fold n°92,0.1,0.5
Fold n°93,0.1,0.3333333333333333
Fold n°94,0.1,1.0
Fold n°95,0.12,0.5
Fold n°96,0.1,0.6666666666666666
Fold n°97,0.1,0.6666666666666666
Fold n°98,0.15999999999999998,1.0
Fold n°99,0.1,0.3333333333333333
Fold n°100,0.1,1.0
