,Fold selected features,Fold nb of features
Fold 0,"['CDK10', 'HNRNPA3P6', 'YWHAQP5', 'RPL23AP7']",4
Fold 1,"['VAMP1', 'CDK10', 'MT-TH', 'MAGI2-AS3', 'YWHAQP5', 'RPL23AP7']",6
Fold 2,"['MVK', 'MT-TH', 'HNRNPA3P6', 'RPL23AP7', 'MTRNR2L8']",5
Fold 3,"['CDK10', 'MT-TH', 'RPL34P34', 'YWHAQP5', 'RPL23AP7', 'MTRNR2L8']",6
Fold 4,"['TNFRSF8', 'HNRNPA3P6', 'RPL23AP7', 'RP11-120B7.1', 'GAPDHP60']",5
Fold 5,"['TRIO', 'CDK10', 'Y_RNA.138', 'Y_RNA.201', 'MT-TM', 'MT-TR', 'MT-TH', 'ITGB2-AS1', 'LINC01001', 'RPL34P34', 'RPL23AP7', 'THAP9-AS1', 'HCAR3', 'MTRNR2L8']",14
Fold 6,"['MAGI2', 'Y_RNA.138', 'HNRNPA3P6', 'RPL34P34', 'RPL23AP7']",5
Fold 7,"['GPX1P1', 'MIRLET7D', 'RNA5SP387', 'MT-TH', 'RPL23AP7', 'THAP9-AS1']",6
Fold 8,"['TRIO', 'MVK', 'SFRP2', 'OXTR', 'CDK10', 'MAGI2', 'RNA5SP387', 'Y_RNA.138', 'Y_RNA.201', 'MT-TM', 'MT-TR', 'MT-TH', 'MT-TS2', 'RPS4XP22', 'RPL23AP7', 'THAP9-AS1', 'MIR142']",17
Fold 9,"['PLEK2', 'IL18', 'CDK10', 'GPX1P1', 'MIRLET7D', 'RNA5SP387', 'MT-TH', 'RPL34P34', 'YWHAQP5']",9
Fold 10,"['PLEK2', 'CDK10', 'GPX1P1', 'MIRLET7D', 'MT-TR', 'MT-TH', 'YWHAQP5', 'GOLGA5P1']",8
Fold 11,"['RPL34P34', 'YWHAQP5', 'GOLGA5P1', 'MTRNR2L8']",4
Fold 12,"['MVK', 'YWHAQP5', 'RPL23AP7']",3
Fold 13,"['TUBA1C', 'CDK10', 'Y_RNA.18', 'MT-TC', 'HNRNPA3P6', 'RPL23AP7']",6
Fold 14,"['TRIO', 'CDK10', 'MAGI2', 'RNA5SP387', 'Y_RNA.138', 'HNRNPA3P6', 'RPL23AP7', 'RP11-120B7.1', 'THAP9-AS1', 'GOLGA5P1']",10
Fold 15,"['RBFA', 'CDK10', 'MT-TM', 'MT-TH', 'YWHAQP5', 'RPL23AP7', 'GOLGA5P1', 'MTRNR2L8']",8
Fold 16,"['HNRNPA3P6', 'YWHAQP5', 'RPL23AP7', 'EID3', 'RN7SL210P']",5
Fold 17,"['PLEK2', 'E4F1', 'CDK10', 'HNRNPA3P6', 'RPL23AP7', 'RP11-120B7.1']",6
Fold 18,"['TRIO', 'RIPK3', 'CDK10', 'RNA5SP387', 'Y_RNA.138', 'Y_RNA.201', 'MT-TM', 'MT-TR', 'MT-TH', 'RPL34P34', 'YWHAQP5', 'RPL23AP7', 'LILRA6', 'MTRNR2L8']",14
