,Fold selected features,Fold nb of features
Fold 0,"['CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD80_CD86+_glandfront_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'Stroma_vascular_endothelium_stromal_area', 'Stroma_fibroblast_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1_M2_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'Neutrophils_stromal_area', 'NKT_glandfront_area', 'aSMA-br_fibroblast_stromal_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'Gland_fibroblast_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'Macrophages_M1-like_stromal_eccentricity', 'NA_stromal_eccentricity', 'Macrophages_M2-like_glandfront_celldistance']",26
Fold 1,"['CD8_T_cells_CD80_CD86+_glandfront_area', 'Stroma_vascular_endothelium_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_glandular_epithelium_glandfront_area', 'Gland_mesenchymal_glandfront_eccentricity']",8
Fold 2,"['Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_glandfront_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M1_M2_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_fibroblast_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity']",11
Fold 3,"['CD8_T_cells_FoxP3+_glandfront_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD11b+_stromal_area', 'Stroma_vascular_endothelium_stromal_area', 'Macrophages_M2-like_stromal_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity']",10
Fold 4,"['NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_glandular_epithelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'Gland_mesenchymal_glandfront_eccentricity']",5
Fold 5,"['CD4_T_cells_HLA-DR+_stromal_area', 'CD4_T_cells_CD80_CD86+_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Neutrophils_stromal_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'Gland_glandular_epithelium_glandfront_area', 'Gland_fibroblast_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'NK_cells_CD56dimCD16+CD9hi_stromal_eccentricity', 'Macrophages_M1-like_stromal_eccentricity', 'Gland_mesenchymal_glandfront_eccentricity', 'NA_stromal_eccentricity', 'Macrophages_M2-like_glandfront_celldistance']",16
Fold 6,"['CD4_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_HLA-DR+_stromal_area', 'CD8_T_cells_CD80_CD86+_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_area', 'CD4_T_cells_CD11b+_stromal_area', 'Stroma_vascular_endothelium_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'Stroma_fibroblast_glandfront_area', 'Stroma_fibroblast_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_glandfront_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M2-like_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Dendritic_Cells_CD86CD33dp_glandfront_area', 'NKT_glandfront_area', 'aSMA-br_fibroblast_stromal_area', 'aSMA-br_mesenchymal_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'CD4_T_cells_CD11b+_stromal_eccentricity', 'Gland_mesenchymal_glandfront_eccentricity', 'Macrophages_M2-like_glandfront_celldistance']",28
Fold 7,"['CD4_T_cells_CD80_CD86+_glandfront_area', 'Stroma_vascular_endothelium_stromal_area', 'NK_cells_CD56brCD16-CD9hi_stromal_area', 'Macrophages_M1_M2_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity', 'Macrophages_M1_M2_glandfront_eccentricity', 'Macrophages_M2-like_glandfront_celldistance']",10
Fold 8,"['Stroma_fibroblast_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NKT_glandfront_area']",3
Fold 9,"['CD4_T_cells_HLA-DR+_stromal_area', 'NK_cells_CD56brCD16-TIM3hi_stromal_area', 'NK_cells_CD56dimCD16+CD9hi_stromal_area', 'Macrophages_M1-like_glandfront_area', 'Macrophages_M2-like_stromal_area', 'NKT_glandfront_area', 'aSMA-br_vascular_endothelium_glandfront_area', 'aSMA-br_vascular_endothelium_stromal_area', 'Gland_glandular_epithelium_glandfront_area', 'CD8_T_cells_CD80_CD86+_stromal_eccentricity']",10
