,Fold selected features,Fold #features
Fold_0,['CD4_T_cells_CD80_CD86+_stromal_area'],1
Fold_1,"['Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M2-like_glandfront_cellfrequency', 'Macrophages_M1_M2_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1-like_stromal_area', 'Gland_mesenchymal_intragland_Ki67']",6
Fold_2,"['Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",3
Fold_3,"['CD4_T_cells_FoxP3+_glandfront_eccentricity', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Macrophages_M1-like_stromal_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",5
Fold_4,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",11
Fold_5,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M2-like_stromal_GranzymeB', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium']",8
Fold_6,"['Gland_glandular_epithelium_glandfront_Ki67', 'aSMA-br_mesenchymal_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1_M2_stromal_area']",4
Fold_7,"['Macrophages_M1_M2_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium']",4
Fold_8,"['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'CD4_T_cells_FoxP3+_glandfront_eccentricity', 'Macrophages_MDSC_glandfront_celldistance', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1_M2_stromal_area', 'CD4_T_cells_FoxP3+_stromal_eccentricity', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Macrophages_MDSC_stromal_area', 'CD4_T_cells_CD11b+_glandfront_area', 'Gland_glandular_epithelium_intragland_Ki67', 'Macrophages_M1-like_stromal_area', 'Dendritic_Cells_CD209CD86dp_glandfront_eccentricity', 'aSMA-br_mesenchymal_stromal_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",15
Fold_9,"['CD4_T_cells_FoxP3+_stromal_eccentricity', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'NKT_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD4_T_cells_FoxP3+_stromal_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",8
Fold_10,"['Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1-like_stromal_GranzymeB', 'Macrophages_M1-like_stromal_area', 'Gland_glandular_epithelium_intragland_Ki67']",4
Fold_11,"['Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",2
Fold_12,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Macrophages_M1-like_stromal_GranzymeB', 'Gland_glandular_epithelium_glandfront_area', 'Macrophages_M1_M2_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Stroma_fibroblast_glandfront_area', 'Macrophages_M1-like_stromal_area']",9
Fold_13,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'NKT_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'NKT_glandfront_Ki67', 'Gland_glandular_epithelium_intragland_Ki67', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'CD4_T_cells_CD11b+_glandfront_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",14
Fold_14,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_mesenchymal_stromal_GranzymeB', 'Gland_mesenchymal_stromal_area', 'aSMA-br_mesenchymal_stromal_area']",7
Fold_15,"['Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD11b+_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area']",3
Fold_16,"['Macrophages_M1-like_glandfront_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_MDSC_glandfront_celldistance', 'Macrophages_M1_M2_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_MDSC_stromal_area', 'CD4_T_cells_CD11b+_stromal_area', 'Gland_glandular_epithelium_intragland_Ki67', 'Macrophages_M1-like_stromal_area']",9
Fold_17,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_vascular_endothelium_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",9
Fold_18,"['Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'Macrophages_M1_M2_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",6
Fold_19,"['Macrophages_M1-like_glandfront_area', 'Macrophages_M1-like_stromal_GranzymeB', 'Gland_mesenchymal_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Dendritic_Cells_CD86CD33dp_glandfront_GranzymeB', 'NK_cells_CD56brCD16-CD9hi_glandfront_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Macrophages_M1-like_stromal_area', 'Gland_mesenchymal_intragland_Ki67', 'CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium']",14
Fold_20,"['CD4_T_cells_CD80_CD86+_stromal_area', 'Dendritic_Cells_CD209CD86dp_glandfront_celldistance', 'Gland_glandular_epithelium_glandfront_Ki67', 'Stroma_fibroblast_glandfront_area', 'Macrophages_M1-like_stromal_area', 'aSMA-br_mesenchymal_stromal_area']",6
Fold_21,"['NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Macrophages_M1_M2_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Macrophages_M1_M2_stromal_GranzymeB', 'Gland_glandular_epithelium_intragland_Ki67', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'aSMA-br_mesenchymal_stromal_area']",8
