,Threshold,min FDP+
Fold n°1,0.11,0.1111111111111111
Fold n°2,0.17,0.25
Fold n°3,0.09,0.5
Fold n°4,0.09,0.0625
Fold n°5,0.09,0.125
Fold n°6,0.19,0.25
Fold n°7,0.13,0.4
Fold n°8,0.25,0.3333333333333333
Fold n°9,0.06999999999999999,0.3
Fold n°10,0.06999999999999999,0.4444444444444444
Fold n°11,0.08,0.23076923076923078
Fold n°12,0.05,0.4642857142857143
Fold n°13,0.09999999999999999,0.07692307692307693
Fold n°14,0.09,0.36363636363636365
Fold n°15,0.12,0.14285714285714285
Fold n°16,0.18000000000000002,0.5
Fold n°17,0.15000000000000002,0.14285714285714285
Fold n°18,0.16,0.2
Fold n°19,0.18000000000000002,0.2
Fold n°20,0.06999999999999999,0.5
Fold n°21,0.15000000000000002,0.3333333333333333
Fold n°22,0.19,0.25
Fold n°23,0.09999999999999999,0.36363636363636365
Fold n°24,0.09999999999999999,0.5454545454545454
Fold n°25,0.16,0.2
Fold n°26,0.06999999999999999,0.3333333333333333
Fold n°27,0.14,0.25
Fold n°28,0.14,0.4
Fold n°29,0.08,0.3333333333333333
Fold n°30,0.12,0.125
Fold n°31,0.08,0.5
Fold n°32,0.2,0.6666666666666666
Fold n°33,0.11,0.09090909090909091
Fold n°34,0.22,0.3333333333333333
Fold n°35,0.15000000000000002,0.3333333333333333
Fold n°36,0.17,0.16666666666666666
Fold n°37,0.18000000000000002,0.3333333333333333
Fold n°38,0.2,0.25
Fold n°39,0.12,0.2222222222222222
Fold n°40,0.12,0.16666666666666666
Fold n°41,0.16,0.16666666666666666
Fold n°42,0.14,0.2
Fold n°43,0.06999999999999999,0.2777777777777778
Fold n°44,0.15000000000000002,0.4
Fold n°45,0.09,0.35714285714285715
Fold n°46,0.14,0.25
Fold n°47,0.09999999999999999,0.2727272727272727
Fold n°48,0.22,0.3333333333333333
Fold n°49,0.13,0.16666666666666666
Fold n°50,0.06999999999999999,0.3333333333333333
Fold n°51,0.09999999999999999,0.15384615384615385
Fold n°52,0.09,0.5
Fold n°53,0.14,0.3333333333333333
Fold n°54,0.16,0.3333333333333333
Fold n°55,0.11,0.2
Fold n°56,0.11,0.3333333333333333
Fold n°57,0.17,0.25
Fold n°58,0.11,0.16666666666666666
Fold n°59,0.09,0.4
Fold n°60,0.15000000000000002,0.6
Fold n°61,0.060000000000000005,0.9285714285714286
Fold n°62,0.14,0.3333333333333333
Fold n°63,0.11,0.3333333333333333
Fold n°64,0.060000000000000005,0.05555555555555555
Fold n°65,0.13,0.14285714285714285
Fold n°66,0.17,0.2
Fold n°67,0.09999999999999999,0.09090909090909091
Fold n°68,0.12,0.2857142857142857
Fold n°69,0.12,0.16666666666666666
Fold n°70,0.11,0.2857142857142857
Fold n°71,0.16,0.14285714285714285
Fold n°72,0.13,0.1111111111111111
Fold n°73,0.09,0.2
Fold n°74,0.11,0.375
Fold n°75,0.060000000000000005,0.34782608695652173
Fold n°76,0.11,0.125
Fold n°77,0.17,0.6666666666666666
Fold n°78,0.16,0.2
Fold n°79,0.17,0.5
Fold n°80,0.2,0.3333333333333333
Fold n°81,0.18000000000000002,0.25
Fold n°82,0.12,0.2727272727272727
Fold n°83,0.12,0.1
Fold n°84,0.16,0.16666666666666666
Fold n°85,0.15000000000000002,0.16666666666666666
Fold n°86,0.11,0.3333333333333333
Fold n°87,0.21000000000000002,0.6666666666666666
Fold n°88,0.09999999999999999,0.2222222222222222
Fold n°89,0.08,0.35294117647058826
Fold n°90,0.09999999999999999,0.375
Fold n°91,0.09,0.21428571428571427
Fold n°92,0.06999999999999999,0.06666666666666667
Fold n°93,0.2,0.3333333333333333
Fold n°94,0.09,0.25
Fold n°95,0.08,0.4375
Fold n°96,0.12,0.3333333333333333
Fold n°97,0.14,0.14285714285714285
Fold n°98,0.16,0.16666666666666666
Fold n°99,0.11,0.1111111111111111
Fold n°100,0.12,0.2
