,Threshold,min FDP+
Fold n°1,0.22,1.0
Fold n°2,0.09,0.9230769230769231
Fold n°3,0.24000000000000002,1.0
Fold n°4,0.08,0.6842105263157895
Fold n°5,0.16,1.0
Fold n°6,0.14,0.375
Fold n°7,0.06999999999999999,0.8571428571428571
Fold n°8,0.01,0.9885057471264368
Fold n°9,0.27,0.3333333333333333
Fold n°10,0.29000000000000004,1.0
Fold n°11,0.11,0.9
Fold n°12,0.12,0.7272727272727273
Fold n°13,0.34,1.0
Fold n°14,0.23,1.0
Fold n°15,0.16,0.5
Fold n°16,0.34,1.0
Fold n°17,0.48000000000000004,1.0
Fold n°18,0.13,1.0
Fold n°19,0.31,1.0
Fold n°20,0.16,0.6
Fold n°21,0.34,1.0
Fold n°22,0.25,0.5
Fold n°23,0.52,1.0
Fold n°24,0.2,0.3333333333333333
Fold n°25,0.51,1.0
Fold n°26,0.24000000000000002,0.5
Fold n°27,0.14,0.8333333333333334
Fold n°28,0.65,1.0
Fold n°29,0.21000000000000002,0.3333333333333333
Fold n°30,0.18000000000000002,0.16666666666666666
Fold n°31,0.16,0.6666666666666666
Fold n°32,0.45,1.0
Fold n°33,0.21000000000000002,0.25
Fold n°34,0.28,1.0
Fold n°35,0.18000000000000002,0.8
Fold n°36,0.16,0.8333333333333334
Fold n°37,0.21000000000000002,0.6
Fold n°38,0.15000000000000002,0.25
Fold n°39,0.37,1.0
Fold n°40,0.47000000000000003,1.0
Fold n°41,0.14,0.1
Fold n°42,0.23,1.0
Fold n°43,0.41000000000000003,1.0
Fold n°44,0.38,1.0
Fold n°45,0.23,1.0
Fold n°46,0.16,0.8333333333333334
Fold n°47,0.12,0.9
Fold n°48,0.13,0.75
Fold n°49,0.28,0.5
Fold n°50,0.53,1.0
Fold n°51,0.08,0.8666666666666667
Fold n°52,0.19,1.0
Fold n°53,0.22,0.3333333333333333
Fold n°54,0.33,1.0
Fold n°55,0.09,0.9230769230769231
Fold n°56,0.12,0.5
Fold n°57,0.18000000000000002,0.6666666666666666
Fold n°58,0.23,0.5
Fold n°59,0.22,0.25
Fold n°60,0.27,1.0
Fold n°61,0.27,0.3333333333333333
Fold n°62,0.3,0.5
Fold n°63,0.27,0.5
Fold n°64,0.26,0.3333333333333333
Fold n°65,0.36000000000000004,1.0
Fold n°66,0.5700000000000001,1.0
Fold n°67,0.11,0.5833333333333334
Fold n°68,0.21000000000000002,0.6666666666666666
Fold n°69,0.2,0.4
Fold n°70,0.12,1.0
Fold n°71,0.42000000000000004,1.0
Fold n°72,0.2,0.25
Fold n°73,0.52,1.0
Fold n°74,0.36000000000000004,1.0
Fold n°75,0.3,0.3333333333333333
Fold n°76,0.39,1.0
Fold n°77,0.22,0.5
Fold n°78,0.26,1.0
Fold n°79,0.17,0.375
Fold n°80,0.21000000000000002,1.0
Fold n°81,0.28,0.5
Fold n°82,0.34,1.0
Fold n°83,0.14,0.42857142857142855
Fold n°84,0.35000000000000003,1.0
Fold n°85,0.24000000000000002,0.5
Fold n°86,0.21000000000000002,1.0
Fold n°87,0.15000000000000002,0.8
Fold n°88,0.23,1.0
Fold n°89,0.25,0.5
Fold n°90,0.16,0.8571428571428571
Fold n°91,0.19,1.0
Fold n°92,0.14,0.8333333333333334
Fold n°93,0.26,1.0
Fold n°94,0.09999999999999999,0.8181818181818182
Fold n°95,0.26,0.5
Fold n°96,0.34,1.0
Fold n°97,0.26,1.0
Fold n°98,0.32,0.5
Fold n°99,0.29000000000000004,0.5
Fold n°100,0.09,0.8823529411764706
