,Threshold,min FDP+
Fold n°1,0.6199999999999998,0.3333333333333333
Fold n°2,0.6199999999999998,0.3333333333333333
Fold n°3,0.6099999999999998,0.2
Fold n°4,0.5499999999999998,0.3333333333333333
Fold n°5,0.5899999999999997,0.2
Fold n°6,0.5499999999999998,0.2
Fold n°7,0.6399999999999997,0.25
Fold n°8,0.5499999999999998,0.25
Fold n°9,0.6499999999999997,0.2
Fold n°10,0.5599999999999997,0.3333333333333333
Fold n°11,0.6099999999999998,0.2
Fold n°12,0.6299999999999997,0.3333333333333333
Fold n°13,0.5699999999999997,0.3333333333333333
Fold n°14,0.5999999999999998,0.25
Fold n°15,0.5899999999999997,0.16666666666666666
Fold n°16,0.5899999999999997,0.2
Fold n°17,0.6199999999999998,0.25
Fold n°18,0.5899999999999997,0.14285714285714285
Fold n°19,0.5999999999999998,0.16666666666666666
Fold n°20,0.5899999999999997,0.125
Fold n°21,0.5899999999999997,0.2
Fold n°22,0.5699999999999997,0.125
Fold n°23,0.6199999999999998,0.2
Fold n°24,0.5899999999999997,0.25
Fold n°25,0.5699999999999997,0.16666666666666666
Fold n°26,0.5899999999999997,0.2
Fold n°27,0.5999999999999998,0.25
Fold n°28,0.5799999999999997,0.2
Fold n°29,0.6199999999999998,0.16666666666666666
Fold n°30,0.6199999999999998,0.25
Fold n°31,0.6099999999999998,0.25
Fold n°32,0.6099999999999998,0.2
Fold n°33,0.6199999999999998,0.25
Fold n°34,0.5999999999999998,0.25
Fold n°35,0.5799999999999997,0.2
Fold n°36,0.6299999999999997,0.3333333333333333
Fold n°37,0.5999999999999998,0.5
Fold n°38,0.5999999999999998,0.2
Fold n°39,0.5899999999999997,0.3333333333333333
Fold n°40,0.5999999999999998,0.2
Fold n°41,0.5699999999999997,0.16666666666666666
Fold n°42,0.6099999999999998,0.16666666666666666
Fold n°43,0.5599999999999997,0.125
Fold n°44,0.6099999999999998,0.2
Fold n°45,0.5799999999999997,0.14285714285714285
Fold n°46,0.5899999999999997,0.2
Fold n°47,0.5899999999999997,0.16666666666666666
Fold n°48,0.5699999999999997,0.16666666666666666
Fold n°49,0.6299999999999997,0.3333333333333333
Fold n°50,0.5699999999999997,0.14285714285714285
Fold n°51,0.5899999999999997,0.16666666666666666
Fold n°52,0.5799999999999997,0.25
Fold n°53,0.5499999999999998,0.125
Fold n°54,0.5899999999999997,0.25
Fold n°55,0.5799999999999997,0.16666666666666666
Fold n°56,0.5999999999999998,0.25
Fold n°57,0.5599999999999997,0.14285714285714285
Fold n°58,0.5899999999999997,0.25
Fold n°59,0.5999999999999998,0.2
Fold n°60,0.5699999999999997,0.14285714285714285
Fold n°61,0.5899999999999997,0.16666666666666666
Fold n°62,0.5699999999999997,0.3333333333333333
Fold n°63,0.5999999999999998,0.25
Fold n°64,0.5599999999999997,0.14285714285714285
Fold n°65,0.5699999999999997,0.14285714285714285
Fold n°66,0.5899999999999997,0.2
Fold n°67,0.6299999999999997,0.5
Fold n°68,0.5599999999999997,0.125
Fold n°69,0.6199999999999998,0.25
Fold n°70,0.5899999999999997,0.16666666666666666
Fold n°71,0.5799999999999997,0.75
Fold n°72,0.6299999999999997,0.25
Fold n°73,0.5899999999999997,0.16666666666666666
Fold n°74,0.5499999999999998,0.16666666666666666
Fold n°75,0.6199999999999998,0.25
Fold n°76,0.6099999999999998,0.25
Fold n°77,0.5699999999999997,0.16666666666666666
Fold n°78,0.5899999999999997,0.25
Fold n°79,0.5199999999999998,0.25
Fold n°80,0.5899999999999997,0.2
Fold n°81,0.5699999999999997,0.14285714285714285
Fold n°82,0.5799999999999997,0.2857142857142857
Fold n°83,0.5599999999999997,0.14285714285714285
Fold n°84,0.5999999999999998,0.3333333333333333
Fold n°85,0.5499999999999998,0.3333333333333333
Fold n°86,0.6299999999999997,0.25
Fold n°87,0.5699999999999997,0.2
Fold n°88,0.5899999999999997,0.2
Fold n°89,0.5499999999999998,0.16666666666666666
Fold n°90,0.5599999999999997,0.2857142857142857
Fold n°91,0.5699999999999997,0.16666666666666666
Fold n°92,0.5499999999999998,0.14285714285714285
Fold n°93,0.5999999999999998,0.25
Fold n°94,0.5699999999999997,0.25
Fold n°95,0.6099999999999998,0.3333333333333333
Fold n°96,0.5999999999999998,0.25
Fold n°97,0.6099999999999998,0.2
Fold n°98,0.5899999999999997,0.25
Fold n°99,0.5899999999999997,0.2
Fold n°100,0.6099999999999998,0.3333333333333333
