,Max Proba
artificial.171,0.3566666666666667
artificial.34,0.32
artificial.118,0.30666666666666664
artificial.27,0.29
artificial.24,0.2733333333333333
artificial.5,0.25
artificial.158,0.21666666666666667
artificial.187,0.18666666666666668
artificial.127,0.15333333333333332
artificial.19,0.14333333333333334
artificial.51,0.13666666666666666
artificial.18,0.13
artificial.143,0.12666666666666668
artificial.63,0.12333333333333334
artificial.120,0.12
artificial.156,0.10333333333333333
artificial.87,0.09666666666666666
artificial.108,0.09333333333333334
artificial.180,0.09333333333333334
artificial.163,0.09
artificial.214,0.09
artificial.17,0.08666666666666667
artificial.161,0.08666666666666667
artificial.77,0.08333333333333333
artificial.6,0.08
artificial.25,0.07666666666666666
artificial.9,0.07666666666666666
artificial.179,0.07333333333333333
artificial.43,0.07333333333333333
artificial.200,0.07
artificial.42,0.07
artificial.176,0.07
artificial.199,0.06666666666666667
artificial.10,0.06666666666666667
artificial.208,0.06333333333333334
artificial.145,0.06333333333333334
artificial.1,0.056666666666666664
artificial.150,0.056666666666666664
artificial.16,0.056666666666666664
artificial.211,0.05333333333333334
artificial.206,0.04666666666666667
artificial.151,0.043333333333333335
artificial.31,0.043333333333333335
artificial.177,0.043333333333333335
artificial.91,0.043333333333333335
artificial.128,0.043333333333333335
artificial.22,0.043333333333333335
artificial.119,0.04
artificial.121,0.04
artificial.88,0.04
artificial.59,0.04
artificial.201,0.04
artificial.61,0.04
artificial.26,0.03666666666666667
artificial.144,0.03666666666666667
artificial.66,0.03666666666666667
artificial.65,0.03666666666666667
artificial.125,0.03666666666666667
artificial.154,0.03666666666666667
artificial.203,0.03333333333333333
artificial.80,0.03333333333333333
artificial.52,0.03333333333333333
artificial.104,0.03333333333333333
artificial.170,0.03
artificial.95,0.03
artificial.110,0.03
artificial.29,0.03
artificial.73,0.03
artificial.53,0.03
artificial.62,0.02666666666666667
artificial.124,0.02666666666666667
artificial.72,0.023333333333333334
artificial.71,0.023333333333333334
artificial.83,0.023333333333333334
artificial.152,0.023333333333333334
artificial.213,0.023333333333333334
artificial.186,0.023333333333333334
artificial.197,0.023333333333333334
artificial.82,0.023333333333333334
artificial.76,0.023333333333333334
artificial.117,0.02
artificial.146,0.02
artificial.58,0.02
artificial.184,0.02
artificial.21,0.02
artificial.30,0.016666666666666666
artificial.113,0.016666666666666666
artificial.86,0.016666666666666666
artificial.78,0.016666666666666666
artificial.164,0.016666666666666666
artificial.56,0.016666666666666666
artificial.96,0.013333333333333334
artificial.102,0.013333333333333334
artificial.133,0.013333333333333334
artificial.20,0.013333333333333334
artificial.55,0.013333333333333334
artificial.46,0.013333333333333334
artificial.75,0.013333333333333334
artificial.54,0.013333333333333334
artificial.14,0.013333333333333334
artificial.3,0.013333333333333334
artificial.8,0.013333333333333334
artificial.191,0.013333333333333334
artificial.90,0.013333333333333334
artificial.94,0.013333333333333334
artificial.135,0.01
artificial.103,0.01
artificial.159,0.01
artificial.193,0.01
artificial.198,0.01
artificial.111,0.01
artificial.136,0.01
artificial.167,0.006666666666666667
artificial.175,0.006666666666666667
artificial.195,0.006666666666666667
artificial.207,0.006666666666666667
artificial.140,0.006666666666666667
artificial.105,0.006666666666666667
artificial.134,0.006666666666666667
artificial.38,0.006666666666666667
artificial.13,0.006666666666666667
artificial.7,0.006666666666666667
artificial.137,0.006666666666666667
artificial.132,0.006666666666666667
artificial.169,0.006666666666666667
artificial.4,0.0033333333333333335
artificial.178,0.0033333333333333335
artificial.173,0.0033333333333333335
artificial.168,0.0033333333333333335
artificial.165,0.0033333333333333335
artificial.194,0.0033333333333333335
artificial.185,0.0033333333333333335
artificial.205,0.0033333333333333335
artificial.209,0.0033333333333333335
artificial.139,0.0033333333333333335
artificial.116,0.0033333333333333335
artificial.122,0.0033333333333333335
artificial.123,0.0033333333333333335
artificial.99,0.0033333333333333335
artificial.92,0.0033333333333333335
artificial.109,0.0033333333333333335
artificial.112,0.0033333333333333335
artificial.183,0.0033333333333333335
artificial.84,0.0033333333333333335
artificial.64,0.0033333333333333335
artificial.36,0.0033333333333333335
artificial.11,0.0033333333333333335
artificial.60,0.0033333333333333335
artificial.15,0.0
artificial.2,0.0
artificial.85,0.0
artificial.81,0.0
artificial.79,0.0
artificial.74,0.0
artificial.67,0.0
artificial.68,0.0
artificial.69,0.0
artificial.70,0.0
artificial.57,0.0
artificial.44,0.0
artificial.40,0.0
artificial.41,0.0
artificial.50,0.0
artificial.49,0.0
artificial.48,0.0
artificial.47,0.0
artificial.45,0.0
artificial.35,0.0
artificial.37,0.0
artificial.33,0.0
artificial.23,0.0
artificial.28,0.0
artificial.32,0.0
artificial.39,0.0
artificial.12,0.0
artificial.100,0.0
artificial.89,0.0
artificial.93,0.0
artificial.101,0.0
artificial.106,0.0
artificial.114,0.0
artificial.115,0.0
artificial.149,0.0
artificial.148,0.0
artificial.147,0.0
artificial.142,0.0
artificial.141,0.0
artificial.138,0.0
artificial.130,0.0
artificial.131,0.0
artificial.126,0.0
artificial.129,0.0
artificial.97,0.0
artificial.98,0.0
artificial.107,0.0
artificial.155,0.0
artificial.153,0.0
artificial.166,0.0
artificial.182,0.0
artificial.181,0.0
artificial.172,0.0
artificial.174,0.0
artificial.157,0.0
artificial.160,0.0
artificial.162,0.0
artificial.188,0.0
artificial.196,0.0
artificial.192,0.0
artificial.189,0.0
artificial.190,0.0
artificial.204,0.0
artificial.202,0.0
artificial.210,0.0
artificial.212,0.0
