,Fold selected features,Fold #features
Fold_0,"['CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1_M2_stromal_area']",2
Fold_1,"['Macrophages_M1-like_stromal_GranzymeB', 'CD8_T_cells_HLA-DR+_glandfront_ERa', 'Macrophages_M2-like_glandfront_cellfrequency', 'NK_cells_CD56brCD16-TIM3hi_glandfront_eccentricity', 'Neutrophils_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1_M2_stromal_area', 'CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'CD8_T_cells_HLA-DR+_glandfront_eccentricity', 'Gland_glandular_epithelium_intragland_Ki67', 'Gland_mesenchymal_intragland_Ki67']",11
Fold_2,"['Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",3
Fold_3,"['CD4_T_cells_FoxP3+_glandfront_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",2
Fold_4,"['Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'CD4_T_cells_FoxP3+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Dendritic_Cells_CD209CD86dp_glandfront_GranzymeB', 'Gland_glandular_epithelium_intragland_Ki67', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",11
Fold_5,"['CD8_T_cells_HLA-DR+_glandfront_cellfrequency', 'Dendritic_Cells_CD209CD33dp_glandfront_GranzymeB', 'CD8_T_cells_HLA-DR+_glandfront_ERa', 'NK_cells_CD56brCD16-_stromal_aggregatedNeighbors.NK.cells.CD56dimCD16.CD9hi', 'Macrophages_M1_M2_stromal_aggregatedNeighbors.aSMA.br.vascular.endothelium', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Macrophages_M2-like_stromal_GranzymeB', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'Gland_glandular_epithelium_glandfront_Ki67', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'CD8_T_cells_HLA-DR+_glandfront_eccentricity', 'Gland_glandular_epithelium_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",15
Fold_6,"['CD4_T_cells_CD80_CD86+_stromal_area', 'Macrophages_M1_M2_stromal_area', 'Macrophages_M2-like_glandfront_area', 'aSMA-br_mesenchymal_stromal_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",5
Fold_7,"['CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Macrophages_M1_M2_stromal_area', 'CD4_T_cells_CD80_CD86+_stromal_area', 'Gland_glandular_epithelium_glandfront_Ki67', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.mesenchymal', 'CD4_T_cells_CD80_CD86+_glandfront_aggregatedNeighbors.Gland.glandular.epithelium']",7
Fold_8,"['CD4_T_cells_CD11b+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'Macrophages_MDSC_glandfront_celldistance', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_intragland_Ki67', 'Macrophages_M2-like_stromal_aggregatedNeighbors.aSMA.br.mesenchymal', 'CD4_T_cells_CD80_CD86+_stromal_area', 'CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'Dendritic_Cells_CD209CD86dp_glandfront_eccentricity', 'CD4_T_cells_FoxP3+_glandfront_eccentricity', 'Macrophages_M1_M2_stromal_area', 'CD4_T_cells_FoxP3+_stromal_eccentricity', 'Gland_glandular_epithelium_glandfront_Ki67', 'Dendritic_Cells_CD33+_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Macrophages_MDSC_stromal_area', 'CD8_T_cells_HLA-DR+_glandfront_eccentricity', 'CD4_T_cells_HLA-DR+_stromal_aggregatedNeighbors.Stroma.mesenchymal', 'CD4_T_cells_CD11b+_glandfront_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",19
Fold_9,"['CD4_T_cells_CD11b+_stromal_cellfrequency', 'CD4_T_cells_FoxP3+_stromal_aggregatedNeighbors.aSMA.br.fibroblast', 'NK_cells_CD56brCD16-TIM3hi_stromal_aggregatedNeighbors.aSMA.br.mesenchymal', 'Gland_mesenchymal_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'NK_cells_CD56dimCD16+CD9hi_intragland_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_intragland_Ki67', 'Dendritic_Cells_CD209CD86dp_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'NK_cells_CD56brCD16-CD9hi_glandfront_cellfrequency', 'Macrophages_M2-like_stromal_aggregatedNeighbors.aSMA.br.mesenchymal', 'CD8_T_cells_CD80_CD86+_stromal_aggregatedNeighbors.Stroma.fibroblast', 'aSMA-br_glandular_epithelium_glandfront_cellfrequency', 'CD4_T_cells_CD11b+_glandfront_aggregatedNeighbors.Stroma.mesenchymal', 'Dendritic_Cells_CD33+_glandfront_aggregatedNeighbors.aSMA.br.fibroblast', 'NKT_glandfront_Ki67', 'CD4_T_cells_FoxP3+_glandfront_cellfrequency', 'Gland_glandular_epithelium_intragland_cellfrequency', 'CD4_T_cells_FoxP3+_glandfront_eccentricity', 'Macrophages_M1_M2_stromal_area', 'CD4_T_cells_FoxP3+_stromal_eccentricity', 'Neutrophils_glandfront_aggregatedNeighbors.Gland.glandular.epithelium', 'Gland_glandular_epithelium_glandfront_Ki67', 'CD8_T_cells_HLA-DR+_intragland_cellfrequency', 'CD4_T_cells_CD11b+_glandfront_area', 'CD4_T_cells_FoxP3+_glandfront_celldistance']",24
