,Fold selected features,Fold #features
Fold_0,"['CCL20', 'CRTAC1', 'FCRLB', 'MDGA1']",4
Fold_1,"['CD1C', 'LTBP3', 'MDGA1', 'S100A16']",4
Fold_2,"['FCRLB', 'MDGA1', 'TMPRSS5']",3
Fold_3,"['CCL15', 'CD1C', 'CDHR1', 'CPA2', 'CRTAC1', 'CTSH', 'DSG4', 'FCRLB', 'IGF2R', 'IL13', 'IL5RA', 'MDGA1', 'PILRB', 'PRSS8', 'SMOC2', 'TMPRSS5', 'XPNPEP2']",17
Fold_4,"['CCL20', 'CRTAC1']",2
Fold_5,"['CTSF', 'MDGA1']",2
Fold_6,"['AOC1', 'BAIAP2', 'CCL20', 'CD1C', 'CHIT1', 'CXCL13', 'IL5RA', 'LYPD1', 'MDGA1', 'MUC13', 'NDRG1', 'PDGFC', 'PRSS8', 'TMPRSS5']",14
Fold_7,"['CCL20', 'CRTAC1', 'DPEP2', 'MDGA1', 'TMPRSS5']",5
Fold_8,"['CD1C', 'CPA2', 'CRTAC1', 'CTSH', 'DPEP2', 'FCRLB', 'MDGA1', 'TDGF1']",8
Fold_9,[],0
Fold_10,"['CCL20', 'CD1C', 'CRTAC1', 'CTSF', 'GNLY', 'IL17C', 'IL5RA', 'MDGA1', 'TMPRSS5']",9
Fold_11,"['ADAMTS13', 'AOC1', 'CCL20', 'CD1C', 'CRTAC1', 'DPEP2', 'FCRLB', 'FOSB', 'GGT5', 'LILRB1', 'MDGA1', 'MSLN', 'MZB1', 'NPTN', 'PRL', 'TDGF1', 'TMPRSS5', 'XPNPEP2']",18
Fold_12,"['DPEP2', 'FCRLB', 'KLK12', 'MDGA1', 'NCAM2', 'PON3', 'PRSS8', 'RANGAP1', 'REN', 'TNC', 'VWF']",11
Fold_13,"['CRTAC1', 'HLA-DRA', 'MDGA1', 'TMPRSS5']",4
Fold_14,"['CCL20', 'MDGA1']",2
Fold_15,"['CRTAC1', 'IGF2R', 'MDGA1', 'PON3']",4
Fold_16,"['FCRLB', 'MDGA1', 'MSLN', 'PRSS8']",4
Fold_17,"['AOC1', 'BAIAP2', 'CCL20', 'CD1C', 'CPA2', 'CTSF', 'DPEP2', 'DSG4', 'IL11', 'IL13', 'IL32', 'IL5RA', 'INHBC', 'KLRD1', 'LILRB1', 'LTBP3', 'LYPD1', 'MDGA1', 'MZB1', 'PNLIPRP2', 'PON3', 'SMOC2', 'SPINK6', 'XPNPEP2']",24
Fold_18,"['CCL15', 'CD1C', 'CRTAC1', 'FCRLB', 'MDGA1', 'MZB1', 'PM20D1', 'TDGF1', 'TMPRSS5', 'XPNPEP2']",10
Fold_19,"['CCL20', 'CRTAC1', 'IL17C', 'LTBP3', 'MDGA1', 'RANGAP1', 'RETN', 'S100A16']",8
Fold_20,[],0
Fold_21,"['FCRLB', 'MDGA1']",2
Fold_22,"['BAIAP2', 'CCL20', 'CD1C', 'CNTN5', 'CRTAC1', 'DPEP2', 'FCAR', 'GGH', 'IL2', 'IL2RA', 'JUN', 'KLRD1', 'LEP', 'LHB', 'LRRC25', 'LTBP3', 'LY96', 'LYPD1', 'MDGA1', 'MZB1', 'PSPN', 'RETN', 'SIGLEC9', 'SLC39A5', 'TNFRSF8']",25
Fold_23,"['CD1C', 'DPEP2', 'MDGA1']",3
Fold_24,"['CDHR1', 'CPA2', 'FCRLB', 'IGF2R', 'IL32', 'MDGA1', 'NCAM2', 'TNC', 'XPNPEP2']",9
Fold_25,"['CD1C', 'CES2', 'CRTAC1', 'DPEP2', 'FCRL5', 'FCRLB', 'LYPD1', 'MDGA1', 'MZB1', 'NPTN', 'PM20D1', 'RANGAP1', 'RETN', 'XPNPEP2']",14
